ID,Category,Tone,CardText
1,Deepening Understanding,Low & Honest Time Travel,"Think of a quiet disappointment about us last month. Whisper it in 5 words. Partner says only 'I hear that.' Then switch."
2,Deepening Understanding,Straight Up Sex,"Tell your partner: 'The thing I most want you to do to my body that I've never asked for is ______.' No explanation, just the sentence."
3,Deepening Understanding,Sweet & Sentimental,"What's a moment you felt completely seen by me - even if I didn't realize it at the time?"
4,Intimate Dares & Play,Low & Honest Time Travel,"Place your hand on their sternum. Say: 'I'm going to press harder for 3 seconds. Tap my wrist to stop.' If they don't, kiss the spot."
5,Intimate Dares & Play,Seductive & Bold,"Pin your partner against the wall. Kiss them once, pull back, and say 'Your move.'"
6,Shared Adventures (Mini),Straight Up Sex,"Flip a coin. Heads = you go down on them for 60 seconds. Tails = they go down on you. No talking during."
7,Shared Adventures (Mini),Sweet & Sentimental,"Invent a two-part hand squeeze: one squeeze = 'I'm here,' two = 'I like you,' three = 'I love you.' Send messages without speaking."
8,Deepening Understanding,Low & Honest Time Travel,"Ask: 'What's something you've changed your mind about since we met - not about us, about yourself?' Answer with one memory."
9,Playful Time Travel,Seductive & Bold,"Fast-forward to tomorrow morning. Whisper what you'll be thinking about when you first see me naked. Then add: 'So take off one thing now.'"
10,Intimate Dares & Play,Straight Up Sex,"Take your partner's hand and put it directly on your cock or clit. Say 'Touch me exactly like this for 10 seconds.' Then stop."
11,Playful Time Travel,Sweet & Sentimental,"Think back to the moment you knew you were falling for me. Describe the exact light, sound, or smell. Then say 'That's still here.'"
12,Shared Adventures (Mini),Low & Honest Time Travel,"Sit facing each other, knees touching. For 90 seconds, take turns naming one real sensation you feel right now (e.g., 'my heel is cold'). No interpretations."
13,Deepening Understanding,Seductive & Bold,"What's a secret desire you've never said aloud because you thought I'd judge you? Whisper it. I'll whisper back 'hot' or 'later.'"
14,Playful Time Travel,Straight Up Sex,"Think of the best orgasm you've ever had with me. Whisper where we were and what position. Then say 'Let's try that again in 10 minutes.'"
15,Intimate Dares & Play,Sweet & Sentimental,"Hold your partner's hand and kiss each fingertip slowly. After each kiss, say one thing you admire about them."
16,Playful Time Travel,Low & Honest Time Travel,"Think back to a boring Tuesday night last year. Whisper one exact detail that made you feel safe. Then say 'That still counts.'"
17,Shared Adventures (Mini),Seductive & Bold,"Set a 30-second timer. Make your partner blush without touching them. Win = they owe you a 15-second lap dance. Lose = you owe a foot rub."
18,Deepening Understanding,Straight Up Sex,"Ask: 'On a scale of 1-10, how horny were you this morning? What would have made it a 10?' Answer honestly."
19,Deepening Understanding,Sweet & Sentimental,"If our love story were a song, what would the title be? Hum two bars."
20,Intimate Dares & Play,Low & Honest Time Travel,"Whisper: 'The first time you made a sound I'd never heard before - do it again. Just once.' Then wait in silence."
21,Intimate Dares & Play,Seductive & Bold,"Blindfold your partner. Trace a line from their knee to their inner thigh using only your nose."
22,Shared Adventures (Mini),Straight Up Sex,"Set a 2-minute timer. You can only communicate by drawing one finger on each other's back. Try to agree on: missionary, doggy, or cowgirl."
23,Shared Adventures (Mini),Sweet & Sentimental,"Both close your eyes. Partner guides your hand to three surfaces in the room. Guess each. Wrong guess = kiss on the hand."
24,Deepening Understanding,Low & Honest Time Travel,"Recall a moment last year when you wanted to cry but didn't. Whisper where you were. Partner says 'I wish I'd been there.'"
25,Playful Time Travel,Seductive & Bold,"Re-create the first time you got turned on by your partner - but add one thing you wish you'd done then but were too shy."
26,Intimate Dares & Play,Straight Up Sex,"Tell your partner: 'I want you to fuck me from behind tonight. Yes or no right now?' No means switch to something else."
27,Intimate Dares & Play,Sweet & Sentimental,"Dance together for one song with your foreheads touching. No talking."
28,Shared Adventures (Mini),Low & Honest Time Travel,"Both lie on the floor. Take turns saying one thing you'd like to do to the other's body that's slightly rude (e.g., 'blow a raspberry on your stomach'). Then do it for 2 seconds."
29,Deepening Understanding,Seductive & Bold,"Tell me one way I've disappointed you in bed. Then tell me one way I've exceeded your expectations."
30,Playful Time Travel,Straight Up Sex,"Fast-forward to tonight after we finish. Whisper one thing you'll be glad we did - and one thing you'll wish we'd done longer."
31,Playful Time Travel,Sweet & Sentimental,"Write a 10-word postcard from 'you five years ago' to 'you tonight.' Read it aloud."
32,Intimate Dares & Play,Low & Honest Time Travel,"Lean close and say: 'Remember the first time we kissed in the dark? Do that again - same pressure, same tilt of the head.'"
33,Shared Adventures (Mini),Seductive & Bold,"Trade one piece of clothing. Now make two drinks wearing each other's item."
34,Deepening Understanding,Straight Up Sex,"Say: 'The word I want to hear you say when you come tonight is ______.' It can be anything - a name, a sound, a curse."
35,Deepening Understanding,Sweet & Sentimental,"What's something you learned about love from your parents that you're glad we don't do?"
36,Playful Time Travel,Low & Honest Time Travel,"Say: 'In five years, we'll have forgotten tonight unless we do this.' Lightly tap each other's forehead three times. 'Now we won't forget.'"
37,Intimate Dares & Play,Seductive & Bold,"Unbutton your partner's shirt using only your teeth. Stop after each button to exhale on their skin."
38,Intimate Dares & Play,Straight Up Sex,"Lick your palm. Then stroke your partner's shaft or vulva once, slowly. Say 'That's a preview.' Then stop."
39,Shared Adventures (Mini),Sweet & Sentimental,"Make a fort out of blankets. Inside, take turns saying 'One thing I'd save if the house were on fire besides you.'"
40,Deepening Understanding,Low & Honest Time Travel,"Say: 'One thing I used to believe about relationships that you proved wrong is ______.' Then name the opposite belief you hold now."
41,Playful Time Travel,Seductive & Bold,"Go back to our first kiss. Kiss them exactly the same way - then pull back and say 'Now let me show you how I kiss you now.' Do it differently."
